Qty,Value,Device,Package,Parts,Description,,,,,,,,,
1,,2R-NEXBV4V,EXBV4V,RN1,Array Chip Resistor,,,,,,,,,
4,,FE18-2,FE18-2,P1,,,,,,,,,,
4,,LED0603,LED-0603,BLU,,,,,,,,,,
2,,M02PTH,1X02,JP6,,,,,,,,,,
3,,M06SILK_FEMALE_PTH,1X06,JP4,,,,,,,,,,
1,,STM32F407ZET6,SQFP-S-20X20-144,MICRO1,168 MHz,,,,,,,,,
1,0 Ohm,R-EU_R0603,R0603,R1,RESISTOR,,,,,,,,,
1,0.01uF,C-EUC0603,C0603,C14,CAPACITOR,,,,,,,,,
14,0.1uF,C-EUC0603,C0603,C1,,,, C9, C10, C11, C20, C23," C24"";""CAPACITOR"," European "";"""";"
2,0.22uF,C-EUC0603,C0603,C21,,,,,,,,,,
8,10K,R-US_R0603,R0603,R7,,,,,,,,,,
2,10nF,C-EUC0603,C0603,C16,same as 0.01uF,,,,,,,,,
1,120,R-US_R0603,R0603,R17,RESISTOR,,,,,,,,,
1,120nF,C-EUC0603,C0603,C26,CAPACITOR,,,,,,,,,
2,1uF,C-EUC0603,C0603,C15,,,,,,,,,,
2,2.2uF,C-EUC0603,C0603,C13,,,,,,,,,,
7,4.7K,R-US_R0603,R0603,R2,,,,,,,,,,
1,4.7uF,C-EUC0603,C0603,C12,CAPACITOR,,,,,,,,,
1,6.8nF,C-EUC0603,C0603,C25,CAPACITOR,,,,,,,,,
1,AP1117-3.3SOT223,AP1117-3.3SOT223,SOT223,3V3_REG,http://www.digikey.c,,,,,,,,,
1,ASV-8,ASF,ASF,Q1,CRYSTAL CLOCK OSCILL,,,,,,,,,
1,BNO055,BNO055,LGA28,BNO055,,,,,,,,,,
1,BSS138,BSS123,SOT23,T2,N-CHANNEL MOS FET,,,,,,,,,
1,FDN340P,FDN340P,SOT-23,T1,MOS FET,,,,,,,,,
1,MAX481CSA,MAX481CSA,SO08,MOTOR_COM,RS485 TRANSEIVER,,,,,,,,,
1,MICROUSB,MICROUSB,MICRO_B,JP1,,,,,,,,,,
1,S1M-E3/61T,DIODE-DO-214AC,DO-214AC,D1,DIODE,,,,,,,,,
4,SWITCH,SWITCH,SW_2512,BNO_BOOT_SW,,,,,,,,,,
1,TEN60-S24-S24-P4-RA,TEN60-S24-S24-P4-RA,TEN60-S24-S24-P4-RA,BACKPLANECON_,,,,,,,,,,
1,WS2812B,WS2812B,WS2812B,L1,,,,,,,,,,
