EAGLE Version 6.1.0 Copyright (c) 1988-2012 CadSoft
List of signals with length and its max. frequency / current
exported from /Users/michaelhayashi/Dropbox/IEEE ROV 2015/Electronics/boards/micro-board/MicroBoardMk2/MicroBoardMk2.brd
at 3/21/15 7:39 PM
Signal	f max. [MHz]	l [mm]	A [mm2]	R [mOhm]	w min [mm]	w max [mm]	Imax [A]
+3V3	    413.15	725.645	0.007	1775.34	 0.203	 0.610	  0.65
NRST	   1639.34	182.879	0.007	 447.43	 0.203	 0.254	  0.65
+5V	   1640.92	182.703	0.007	 447.00	 0.203	 0.610	  0.65
GND	   1691.38	177.252	0.007	 433.66	 0.203	 0.406	  0.65
BILGEPWM	   2185.66	137.167	0.007	 335.59	 0.203	 0.254	  0.65
LEDPWM1	   2270.60	132.036	0.007	 323.03	 0.203	 0.254	  0.65
BOOT0	   2298.15	130.453	0.007	 319.16	 0.203	 0.254	  0.65
LEDPWM2	   2371.28	126.430	0.007	 309.32	 0.203	 0.254	  0.65
LEDPWM4	   2372.95	126.340	0.007	 309.10	 0.203	 0.254	  0.65
STEP1	   2376.62	126.146	0.007	 308.62	 0.203	 0.254	  0.65
TURNPWM2	   2404.66	124.675	0.007	 305.03	 0.203	 0.254	  0.65
LEDPWM5	   2420.98	123.834	0.007	 302.97	 0.203	 0.254	  0.65
LEDPWM3	   2472.97	121.231	0.007	 296.60	 0.203	 0.254	  0.65
TURNPWM1	   2513.74	119.264	0.007	 291.79	 0.203	 0.254	  0.65
STEP2	   2515.94	119.160	0.007	 291.53	 0.203	 0.254	  0.65
CLAWCURRENT	   2631.80	113.914	0.007	 278.70	 0.203	 0.254	  0.65
FUSEDETECTP	   2662.16	112.615	0.007	 275.52	 0.203	 0.254	  0.65
SERVO2CURRENT	   2808.58	106.744	0.007	 261.16	 0.203	 0.254	  0.65
SERVO1CURRENT	   2853.22	105.074	0.007	 257.07	 0.203	 0.254	  0.65
TURNCURRENT	   2876.30	104.231	0.007	 255.01	 0.203	 0.254	  0.65
BNO055_SCL	   2907.70	103.105	0.007	 252.25	 0.203	 0.254	  0.65
BNO055_SDA	   2949.39	101.648	0.007	 248.69	 0.203	 0.254	  0.65
CLAWPWM1	   2986.72	100.378	0.007	 245.58	 0.203	 0.254	  0.65
CLAWPWM2	   3036.62	 98.728	0.007	 241.55	 0.203	 0.254	  0.65
FUSEDETECTM	   3354.53	 89.372	0.007	 218.65	 0.203	 0.254	  0.65
VSEN3	   3568.50	 84.013	0.007	 205.54	 0.203	 0.254	  0.65
VSEN2	   3641.15	 82.337	0.007	 201.44	 0.203	 0.254	  0.65
VSEN1	   3782.31	 79.264	0.007	 193.92	 0.203	 0.254	  0.65
OLED_SCL	   3789.26	 79.118	0.007	 193.57	 0.203	 0.254	  0.65
